"train_size","MAPE","RMSE","MASE"
63,2.57985641475345,191506.269566335,0.169230613013582
67,4.35366499481995,300874.232634206,0.286525921492223
71,2.32623901822004,149741.588453096,0.149282938718992
75,2.75674556172703,209760.727884493,0.183860090943528
79,3.30194130352373,226856.17827943,0.21862288565217
