"train_size","spec","MAPE","RMSE","MASE"
63,"ANA",7.57485270104496,491646.789441198,0.500785699205613
67,"ANA",8.01486964517602,517062.991419932,0.523912040832939
71,"ANA",3.50561848600406,263277.314890008,0.231308157143639
75,"ANA",4.14536954243092,302937.023446106,0.277655172858225
79,"ANA",2.8982525340771,246122.905074758,0.197720490491651
