"bc","damped","AIC","MAPE_test"
FALSE,TRUE,2352.27049828524,3.30194130352373
FALSE,FALSE,2356.92770774215,6.36853843346568
TRUE,FALSE,2359.36289777776,5.97230728376072
TRUE,TRUE,2363.02449782375,2.7723249418252
