"train_size","order","MAPE","RMSE","MASE"
63,"(2,1,2)(1,0,1)[12]",4.29369876456013,266255.809356487,0.278854433368921
67,"(1,1,0)(1,0,1)[12]",4.18133642648389,281326.25704771,0.27559247714898
71,"(0,1,2)(1,0,0)[12]",3.85343140315093,271442.131522734,0.242569291884256
75,"(0,1,2)(1,0,1)[12]",3.37767667580224,234665.567887393,0.221429693083025
79,"(0,1,2)(1,0,1)[12]",4.71088393767788,317058.032275943,0.309743217530497
