"config","AIC","MAPE_test"
"TBATS(no box-cox, damped)",2355.01918731171,2.87327500364696
"TBATS(no box-cox, undamped)",2356.84119476384,6.53388939048214
"TBATS(box-cox, damped)",2358.70976537719,4.05494283924642
"TBATS(box-cox, undamped)",2359.00716933569,6.33357495059178
