"spec","AICc","BIC"
"ETS(A,N,A)",2369.96782649077,2397.89049665872
"ETS(A,Ad,A)",2376.31979842102,2407.56985976542
"ETS(A,A,A)",2376.70635072654,2406.95417733323
"ETS(A,N,N)",2382.50977856681,2389.29812212421
"ETS(A,Ad,N)",2388.37626910025,2401.42628954839
"ETS(A,A,N)",2388.95894382722,2399.98426528134
"ETS(M,N,M)",2391.36944169624,2419.29211186419
"ETS(M,Ad,M)",2398.7116982477,2429.9617595921
"ETS(M,A,M)",2406.59925510419,2436.84708171089
